broker_consultancy,Rent,Area,appartment_type,Deposit,Bathrooms,Facing,Address,Apartment Name,Status,Rent/sqfit,localityclass
"SG RENTALS
AGENT
-",30000,1200,2,No Deposit,2 bathrooms,,"Kondapur, Hyderabad",,Semi-Furnished,25,class2
"VENKY
AGENT
-",15000,1000,1,No Deposit,1 bathrooms,,"Kondapur, Hyderabad",,Semi-Furnished,15,class3
"ANU RENTALS
AGENT
-",30000,1230,2,No Deposit,2 bathrooms,,"Madhapur, Hyderabad",,Semi-Furnished,24.390243902439,class2
"Seller
VERIFIED OWNER",9000,600,3,No Deposit,1 bathrooms,,"Attapur, Hyderabad",The Premia,Furnished,15,class3
"Seller
VERIFIED OWNER",16000,1100,2,No Deposit,2 bathrooms,,"Toli Chowki, Hyderabad",GM Residency,Semi-Furnished,14.5454545454545,class3
"Seller
VERIFIED OWNER",45000,3000,4,No Deposit,4 bathrooms,West facing,"Shamshabad, Hyderabad",,Furnished,15,class3
"Seller
VERIFIED OWNER",80000,3105,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Trend Set Trendset Winz,Furnished,25.7648953301127,class1
"Seller
VERIFIED OWNER",18000,1200,2,No Deposit,2 bathrooms,,"Malakpet, Hyderabad",,Unfurnished,15,class3
"Seller
VERIFIED OWNER",30000,2400,4,No Deposit,4 bathrooms,,"Nizampet, Hyderabad",,Unfurnished,12.5,class3
"Seller
VERIFIED OWNER",20000,1800,3,No Deposit,3 bathrooms,,"Uppal, Hyderabad",,Furnished,11.1111111111111,class3
"Asif
AGENT
0",114999,3130,3,No Deposit,3 bathrooms,,"Banjara Hills, Hyderabad",Dream Valencia,Semi-Furnished,36.7408945686901,class1
"Individual Agent
AGENT
0",25000,1350,2,No Deposit,2 bathrooms,,"Nallagandla Gachibowli, Hyderabad",,Semi-Furnished,18.5185185185185,class2
"Ishaan
AGENT
0",50000,2050,3,No Deposit,3 bathrooms,East facing,"Shaikpet, Hyderabad",,Semi-Furnished,24.390243902439,class2
"Datrika Enterprises
AGENT
-",56000,1885,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Pacifica Hillcrest,Semi-Furnished,29.7082228116711,class1
"Investors Hub
AGENT
-",95000,3070,4,No Deposit,4 bathrooms,East facing,"Kondapur, Hyderabad",Aparna Luxor Park,Semi-Furnished,30.9446254071661,class1
"SYNERGY CONSULTANTS
AGENT
-",42000,1886,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Pacifica Hillcrest,Unfurnished,22.2693531283139,class2
"SHIVA
AGENT
-",21000,1000,2,No Deposit,1 bathrooms,East facing,"Kondapur, Hyderabad",,Semi-Furnished,21,class2
"Thirupathi Rentals
AGENT
-",17000,650,1,No Deposit,1 bathrooms,East facing,"Kondapur, Hyderabad",,Semi-Furnished,26.1538461538462,class1
"Priya Rentals
AGENT
-",26000,1300,2,No Deposit,2 bathrooms,West facing,"Kondapur, Hyderabad",,Semi-Furnished,20,class2
"Ravi
AGENT
-",24500,550,1,No Deposit,1 bathrooms,,"Kondapur, Hyderabad",,Furnished,44.5454545454546,class1
"SG RENTALS
AGENT
-",30000,1200,2,No Deposit,2 bathrooms,,"Kondapur, Hyderabad",,Semi-Furnished,25,class2
"VENKY
AGENT
-",15000,1000,1,No Deposit,1 bathrooms,,"Kondapur, Hyderabad",,Semi-Furnished,15,class3
"ANU RENTALS
AGENT
-",30000,1230,2,No Deposit,2 bathrooms,,"Madhapur, Hyderabad",,Semi-Furnished,24.390243902439,class2
"Seller
VERIFIED OWNER",9000,600,3,No Deposit,1 bathrooms,,"Attapur, Hyderabad",The Premia,Furnished,15,class3
"Seller
VERIFIED OWNER",16000,1100,2,No Deposit,2 bathrooms,,"Toli Chowki, Hyderabad",GM Residency,Semi-Furnished,14.5454545454545,class3
"Seller
VERIFIED OWNER",45000,3000,4,No Deposit,4 bathrooms,West facing,"Shamshabad, Hyderabad",,Furnished,15,class3
"Seller
VERIFIED OWNER",80000,3105,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Trend Set Trendset Winz,Furnished,25.7648953301127,class1
"Seller
VERIFIED OWNER",18000,1200,2,No Deposit,2 bathrooms,,"Malakpet, Hyderabad",,Unfurnished,15,class3
"Seller
VERIFIED OWNER",30000,2400,4,No Deposit,4 bathrooms,,"Nizampet, Hyderabad",,Unfurnished,12.5,class3
"Seller
VERIFIED OWNER",20000,1800,3,No Deposit,3 bathrooms,,"Uppal, Hyderabad",,Furnished,11.1111111111111,class3
"Asif
AGENT
-",114999,3130,3,No Deposit,3 bathrooms,,"Banjara Hills, Hyderabad",Dream Valencia,Semi-Furnished,36.7408945686901,class1
"Individual Agent
AGENT
-",25000,1350,2,No Deposit,2 bathrooms,,"Nallagandla Gachibowli, Hyderabad",,Semi-Furnished,18.5185185185185,class2
"Ishaan
AGENT
-",50000,2050,3,No Deposit,3 bathrooms,East facing,"Shaikpet, Hyderabad",,Semi-Furnished,24.390243902439,class2
"Datrika Enterprises
AGENT
-",56000,1885,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Pacifica Hillcrest,Semi-Furnished,29.7082228116711,class1
"Investors Hub
AGENT
-",95000,3070,4,No Deposit,4 bathrooms,East facing,"Kondapur, Hyderabad",Aparna Luxor Park,Semi-Furnished,30.9446254071661,class1
"SYNERGY CONSULTANTS
AGENT
-",42000,1886,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Pacifica Hillcrest,Unfurnished,22.2693531283139,class2
"SHIVA
AGENT
-",21000,1000,2,No Deposit,1 bathrooms,East facing,"Kondapur, Hyderabad",,Semi-Furnished,21,class2
"Thirupathi Rentals
AGENT
-",17000,650,1,No Deposit,1 bathrooms,East facing,"Kondapur, Hyderabad",,Semi-Furnished,26.1538461538462,class1
"Priya Rentals
AGENT
-",26000,1300,2,No Deposit,2 bathrooms,West facing,"Kondapur, Hyderabad",,Semi-Furnished,20,class2
"Ravi
AGENT
-",24500,550,1,No Deposit,1 bathrooms,,"Kondapur, Hyderabad",,Furnished,44.5454545454546,class1
"SG RENTALS
AGENT
-",30000,1200,2,No Deposit,2 bathrooms,,"Kondapur, Hyderabad",,Semi-Furnished,25,class2
"VENKY
AGENT
-",15000,1000,1,No Deposit,1 bathrooms,,"Kondapur, Hyderabad",,Semi-Furnished,15,class3
"ANU RENTALS
AGENT
-",30000,1230,2,No Deposit,2 bathrooms,,"Madhapur, Hyderabad",,Semi-Furnished,24.390243902439,class2
"Seller
VERIFIED OWNER",9000,600,3,No Deposit,1 bathrooms,,"Attapur, Hyderabad",The Premia,Furnished,15,class3
"Seller
VERIFIED OWNER",16000,1100,2,No Deposit,2 bathrooms,,"Toli Chowki, Hyderabad",GM Residency,Semi-Furnished,14.5454545454545,class3
"Seller
VERIFIED OWNER",45000,3000,4,No Deposit,4 bathrooms,West facing,"Shamshabad, Hyderabad",,Furnished,15,class3
"Seller
VERIFIED OWNER",80000,3105,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Trend Set Trendset Winz,Furnished,25.7648953301127,class1
"Seller
VERIFIED OWNER",18000,1200,2,No Deposit,2 bathrooms,,"Malakpet, Hyderabad",,Unfurnished,15,class3
"Seller
VERIFIED OWNER",30000,2400,4,No Deposit,4 bathrooms,,"Nizampet, Hyderabad",,Unfurnished,12.5,class3
"Seller
VERIFIED OWNER",20000,1800,3,No Deposit,3 bathrooms,,"Uppal, Hyderabad",,Furnished,11.1111111111111,class3
"Asif
AGENT
0",114999,3130,3,No Deposit,3 bathrooms,,"Banjara Hills, Hyderabad",Dream Valencia,Semi-Furnished,36.7408945686901,class1
"Individual Agent
AGENT
0",25000,1350,2,No Deposit,2 bathrooms,,"Nallagandla Gachibowli, Hyderabad",,Semi-Furnished,18.5185185185185,class2
"Ishaan
AGENT
0",50000,2050,3,No Deposit,3 bathrooms,East facing,"Shaikpet, Hyderabad",,Semi-Furnished,24.390243902439,class2
"Datrika Enterprises
AGENT
0",56000,1885,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Pacifica Hillcrest,Semi-Furnished,29.7082228116711,class1
"Investors Hub
AGENT
0",95000,3070,4,No Deposit,4 bathrooms,East facing,"Kondapur, Hyderabad",Aparna Luxor Park,Semi-Furnished,30.9446254071661,class1
"SYNERGY CONSULTANTS
AGENT
0",42000,1886,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Pacifica Hillcrest,Unfurnished,22.2693531283139,class2
"SHIVA
AGENT
0",21000,1000,2,No Deposit,1 bathrooms,East facing,"Kondapur, Hyderabad",,Semi-Furnished,21,class2
"Thirupathi Rentals
AGENT
0",17000,650,1,No Deposit,1 bathrooms,East facing,"Kondapur, Hyderabad",,Semi-Furnished,26.1538461538462,class1
"Priya Rentals
AGENT
0",26000,1300,2,No Deposit,2 bathrooms,West facing,"Kondapur, Hyderabad",,Semi-Furnished,20,class2
"Ravi
AGENT
0",24500,550,1,No Deposit,1 bathrooms,,"Kondapur, Hyderabad",,Furnished,44.5454545454546,class1
"SG RENTALS
AGENT
0",30000,1200,2,No Deposit,2 bathrooms,,"Kondapur, Hyderabad",,Semi-Furnished,25,class2
"VENKY
AGENT
0",15000,1000,1,No Deposit,1 bathrooms,,"Kondapur, Hyderabad",,Semi-Furnished,15,class3
"ANU RENTALS
AGENT
-",30000,1230,2,No Deposit,2 bathrooms,,"Madhapur, Hyderabad",,Semi-Furnished,24.390243902439,class2
"Seller
VERIFIED OWNER",9000,600,3,No Deposit,1 bathrooms,,"Attapur, Hyderabad",The Premia,Furnished,15,class3
"Seller
VERIFIED OWNER",16000,1100,2,No Deposit,2 bathrooms,,"Toli Chowki, Hyderabad",GM Residency,Semi-Furnished,14.5454545454545,class3
"Seller
VERIFIED OWNER",45000,3000,4,No Deposit,4 bathrooms,West facing,"Shamshabad, Hyderabad",,Furnished,15,class3
"Seller
VERIFIED OWNER",80000,3105,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Trend Set Trendset Winz,Furnished,25.7648953301127,class1
"Seller
VERIFIED OWNER",18000,1200,2,No Deposit,2 bathrooms,,"Malakpet, Hyderabad",,Unfurnished,15,class3
"Seller
VERIFIED OWNER",30000,2400,4,No Deposit,4 bathrooms,,"Nizampet, Hyderabad",,Unfurnished,12.5,class3
"Seller
VERIFIED OWNER",20000,1800,3,No Deposit,3 bathrooms,,"Uppal, Hyderabad",,Furnished,11.1111111111111,class3
"Asif
AGENT
0",114999,3130,3,No Deposit,3 bathrooms,,"Banjara Hills, Hyderabad",Dream Valencia,Semi-Furnished,36.7408945686901,class1
"Individual Agent
AGENT
0",25000,1350,2,No Deposit,2 bathrooms,,"Nallagandla Gachibowli, Hyderabad",,Semi-Furnished,18.5185185185185,class2
"Ishaan
AGENT
0",50000,2050,3,No Deposit,3 bathrooms,East facing,"Shaikpet, Hyderabad",,Semi-Furnished,24.390243902439,class2
"Datrika Enterprises
AGENT
-",56000,1885,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Pacifica Hillcrest,Semi-Furnished,29.7082228116711,class1
"Investors Hub
AGENT
-",95000,3070,4,No Deposit,4 bathrooms,East facing,"Kondapur, Hyderabad",Aparna Luxor Park,Semi-Furnished,30.9446254071661,class1
"SYNERGY CONSULTANTS
AGENT
-",42000,1886,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Pacifica Hillcrest,Unfurnished,22.2693531283139,class2
"SHIVA
AGENT
-",21000,1000,2,No Deposit,1 bathrooms,East facing,"Kondapur, Hyderabad",,Semi-Furnished,21,class2
"Thirupathi Rentals
AGENT
-",17000,650,1,No Deposit,1 bathrooms,East facing,"Kondapur, Hyderabad",,Semi-Furnished,26.1538461538462,class1
"Priya Rentals
AGENT
-",26000,1300,2,No Deposit,2 bathrooms,West facing,"Kondapur, Hyderabad",,Semi-Furnished,20,class2
"Ravi
AGENT
-",24500,550,1,No Deposit,1 bathrooms,,"Kondapur, Hyderabad",,Furnished,44.5454545454546,class1
"SG RENTALS
AGENT
-",30000,1200,2,No Deposit,2 bathrooms,,"Kondapur, Hyderabad",,Semi-Furnished,25,class2
"VENKY
AGENT
-",15000,1000,1,No Deposit,1 bathrooms,,"Kondapur, Hyderabad",,Semi-Furnished,15,class3
"ANU RENTALS
AGENT
-",30000,1230,2,No Deposit,2 bathrooms,,"Madhapur, Hyderabad",,Semi-Furnished,24.390243902439,class2
"Seller
VERIFIED OWNER",9000,600,3,No Deposit,1 bathrooms,,"Attapur, Hyderabad",The Premia,Furnished,15,class3
"Seller
VERIFIED OWNER",16000,1100,2,No Deposit,2 bathrooms,,"Toli Chowki, Hyderabad",GM Residency,Semi-Furnished,14.5454545454545,class3
"Seller
VERIFIED OWNER",45000,3000,4,No Deposit,4 bathrooms,West facing,"Shamshabad, Hyderabad",,Furnished,15,class3
"Seller
VERIFIED OWNER",80000,3105,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Trend Set Trendset Winz,Furnished,25.7648953301127,class1
"Seller
VERIFIED OWNER",18000,1200,2,No Deposit,2 bathrooms,,"Malakpet, Hyderabad",,Unfurnished,15,class3
"Seller
VERIFIED OWNER",30000,2400,4,No Deposit,4 bathrooms,,"Nizampet, Hyderabad",,Unfurnished,12.5,class3
"Seller
VERIFIED OWNER",20000,1800,3,No Deposit,3 bathrooms,,"Uppal, Hyderabad",,Furnished,11.1111111111111,class3
"Asif
AGENT
0",114999,3130,3,No Deposit,3 bathrooms,,"Banjara Hills, Hyderabad",Dream Valencia,Semi-Furnished,36.7408945686901,class1
"Individual Agent
AGENT
0",25000,1350,2,No Deposit,2 bathrooms,,"Nallagandla Gachibowli, Hyderabad",,Semi-Furnished,18.5185185185185,class2
"Ishaan
AGENT
0",50000,2050,3,No Deposit,3 bathrooms,East facing,"Shaikpet, Hyderabad",,Semi-Furnished,24.390243902439,class2
"Datrika Enterprises
AGENT
0",56000,1885,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Pacifica Hillcrest,Semi-Furnished,29.7082228116711,class1
"Investors Hub
AGENT
0",95000,3070,4,No Deposit,4 bathrooms,East facing,"Kondapur, Hyderabad",Aparna Luxor Park,Semi-Furnished,30.9446254071661,class1
"SYNERGY CONSULTANTS
AGENT
0",42000,1886,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Pacifica Hillcrest,Unfurnished,22.2693531283139,class2
"SHIVA
AGENT
0",21000,1000,2,No Deposit,1 bathrooms,East facing,"Kondapur, Hyderabad",,Semi-Furnished,21,class2
"Thirupathi Rentals
AGENT
0",17000,650,1,No Deposit,1 bathrooms,East facing,"Kondapur, Hyderabad",,Semi-Furnished,26.1538461538462,class1
"Priya Rentals
AGENT
0",26000,1300,2,No Deposit,2 bathrooms,West facing,"Kondapur, Hyderabad",,Semi-Furnished,20,class2
"Ravi
AGENT
0",24500,550,1,No Deposit,1 bathrooms,,"Kondapur, Hyderabad",,Furnished,44.5454545454546,class1
"SG RENTALS
AGENT
0",30000,1200,2,No Deposit,2 bathrooms,,"Kondapur, Hyderabad",,Semi-Furnished,25,class2
"VENKY
AGENT
0",15000,1000,1,No Deposit,1 bathrooms,,"Kondapur, Hyderabad",,Semi-Furnished,15,class3
"ANU RENTALS
AGENT
0",30000,1230,2,No Deposit,2 bathrooms,,"Madhapur, Hyderabad",,Semi-Furnished,24.390243902439,class2
"Seller
VERIFIED OWNER",9000,600,3,No Deposit,1 bathrooms,,"Attapur, Hyderabad",The Premia,Furnished,15,class3
"Seller
VERIFIED OWNER",16000,1100,2,No Deposit,2 bathrooms,,"Toli Chowki, Hyderabad",GM Residency,Semi-Furnished,14.5454545454545,class3
"Seller
VERIFIED OWNER",45000,3000,4,No Deposit,4 bathrooms,West facing,"Shamshabad, Hyderabad",,Furnished,15,class3
"Seller
VERIFIED OWNER",80000,3105,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Trend Set Trendset Winz,Furnished,25.7648953301127,class1
"Seller
VERIFIED OWNER",18000,1200,2,No Deposit,2 bathrooms,,"Malakpet, Hyderabad",,Unfurnished,15,class3
"Seller
VERIFIED OWNER",30000,2400,4,No Deposit,4 bathrooms,,"Nizampet, Hyderabad",,Unfurnished,12.5,class3
"Seller
VERIFIED OWNER",20000,1800,3,No Deposit,3 bathrooms,,"Uppal, Hyderabad",,Furnished,11.1111111111111,class3
"Asif
AGENT
-",114999,3130,3,No Deposit,3 bathrooms,,"Banjara Hills, Hyderabad",Dream Valencia,Semi-Furnished,36.7408945686901,class1
"Individual Agent
AGENT
-",25000,1350,2,No Deposit,2 bathrooms,,"Nallagandla Gachibowli, Hyderabad",,Semi-Furnished,18.5185185185185,class2
"Ishaan
AGENT
-",50000,2050,3,No Deposit,3 bathrooms,East facing,"Shaikpet, Hyderabad",,Semi-Furnished,24.390243902439,class2
"Datrika Enterprises
AGENT
-",56000,1885,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Pacifica Hillcrest,Semi-Furnished,29.7082228116711,class1
"Investors Hub
AGENT
-",95000,3070,4,No Deposit,4 bathrooms,East facing,"Kondapur, Hyderabad",Aparna Luxor Park,Semi-Furnished,30.9446254071661,class1
"SYNERGY CONSULTANTS
AGENT
-",42000,1886,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Pacifica Hillcrest,Unfurnished,22.2693531283139,class2
"SHIVA
AGENT
-",21000,1000,2,No Deposit,1 bathrooms,East facing,"Kondapur, Hyderabad",,Semi-Furnished,21,class2
"Thirupathi Rentals
AGENT
-",17000,650,1,No Deposit,1 bathrooms,East facing,"Kondapur, Hyderabad",,Semi-Furnished,26.1538461538462,class1
"Priya Rentals
AGENT
-",26000,1300,2,No Deposit,2 bathrooms,West facing,"Kondapur, Hyderabad",,Semi-Furnished,20,class2
"Ravi
AGENT
-",24500,550,1,No Deposit,1 bathrooms,,"Kondapur, Hyderabad",,Furnished,44.5454545454546,class1
"SG RENTALS
AGENT
-",30000,1200,2,No Deposit,2 bathrooms,,"Kondapur, Hyderabad",,Semi-Furnished,25,class2
"VENKY
AGENT
-",15000,1000,1,No Deposit,1 bathrooms,,"Kondapur, Hyderabad",,Semi-Furnished,15,class3
"ANU RENTALS
AGENT
-",30000,1230,2,No Deposit,2 bathrooms,,"Madhapur, Hyderabad",,Semi-Furnished,24.390243902439,class2
"Seller
VERIFIED OWNER",9000,600,3,No Deposit,1 bathrooms,,"Attapur, Hyderabad",The Premia,Furnished,15,class3
"Seller
VERIFIED OWNER",16000,1100,2,No Deposit,2 bathrooms,,"Toli Chowki, Hyderabad",GM Residency,Semi-Furnished,14.5454545454545,class3
"Seller
VERIFIED OWNER",45000,3000,4,No Deposit,4 bathrooms,West facing,"Shamshabad, Hyderabad",,Furnished,15,class3
"Seller
VERIFIED OWNER",80000,3105,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Trend Set Trendset Winz,Furnished,25.7648953301127,class1
"Seller
VERIFIED OWNER",18000,1200,2,No Deposit,2 bathrooms,,"Malakpet, Hyderabad",,Unfurnished,15,class3
"Seller
VERIFIED OWNER",30000,2400,4,No Deposit,4 bathrooms,,"Nizampet, Hyderabad",,Unfurnished,12.5,class3
"Seller
VERIFIED OWNER",20000,1800,3,No Deposit,3 bathrooms,,"Uppal, Hyderabad",,Furnished,11.1111111111111,class3
"Asif
AGENT
-",114999,3130,3,No Deposit,3 bathrooms,,"Banjara Hills, Hyderabad",Dream Valencia,Semi-Furnished,36.7408945686901,class1
"Individual Agent
AGENT
-",25000,1350,2,No Deposit,2 bathrooms,,"Nallagandla Gachibowli, Hyderabad",,Semi-Furnished,18.5185185185185,class2
"Ishaan
AGENT
-",50000,2050,3,No Deposit,3 bathrooms,East facing,"Shaikpet, Hyderabad",,Semi-Furnished,24.390243902439,class2
"Datrika Enterprises
AGENT
-",56000,1885,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Pacifica Hillcrest,Semi-Furnished,29.7082228116711,class1
"Investors Hub
AGENT
-",95000,3070,4,No Deposit,4 bathrooms,East facing,"Kondapur, Hyderabad",Aparna Luxor Park,Semi-Furnished,30.9446254071661,class1
"SYNERGY CONSULTANTS
AGENT
-",42000,1886,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Pacifica Hillcrest,Unfurnished,22.2693531283139,class2
"SHIVA
AGENT
-",21000,1000,2,No Deposit,1 bathrooms,East facing,"Kondapur, Hyderabad",,Semi-Furnished,21,class2
"Thirupathi Rentals
AGENT
-",17000,650,1,No Deposit,1 bathrooms,East facing,"Kondapur, Hyderabad",,Semi-Furnished,26.1538461538462,class1
"Priya Rentals
AGENT
-",26000,1300,2,No Deposit,2 bathrooms,West facing,"Kondapur, Hyderabad",,Semi-Furnished,20,class2
"Ravi
AGENT
-",24500,550,1,No Deposit,1 bathrooms,,"Kondapur, Hyderabad",,Furnished,44.5454545454546,class1
"SG RENTALS
AGENT
-",30000,1200,2,No Deposit,2 bathrooms,,"Kondapur, Hyderabad",,Semi-Furnished,25,class2
"VENKY
AGENT
-",15000,1000,1,No Deposit,1 bathrooms,,"Kondapur, Hyderabad",,Semi-Furnished,15,class3
"ANU RENTALS
AGENT
-",30000,1230,2,No Deposit,2 bathrooms,,"Madhapur, Hyderabad",,Semi-Furnished,24.390243902439,class2
"Seller
VERIFIED OWNER",9000,600,3,No Deposit,1 bathrooms,,"Attapur, Hyderabad",The Premia,Furnished,15,class3
"Seller
VERIFIED OWNER",16000,1100,2,No Deposit,2 bathrooms,,"Toli Chowki, Hyderabad",GM Residency,Semi-Furnished,14.5454545454545,class3
"Seller
VERIFIED OWNER",45000,3000,4,No Deposit,4 bathrooms,West facing,"Shamshabad, Hyderabad",,Furnished,15,class3
"Seller
VERIFIED OWNER",80000,3105,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Trend Set Trendset Winz,Furnished,25.7648953301127,class1
"Seller
VERIFIED OWNER",18000,1200,2,No Deposit,2 bathrooms,,"Malakpet, Hyderabad",,Unfurnished,15,class3
"Seller
VERIFIED OWNER",30000,2400,4,No Deposit,4 bathrooms,,"Nizampet, Hyderabad",,Unfurnished,12.5,class3
"Seller
VERIFIED OWNER",20000,1800,3,No Deposit,3 bathrooms,,"Uppal, Hyderabad",,Furnished,11.1111111111111,class3
"Asif
AGENT
0",114999,3130,3,No Deposit,3 bathrooms,,"Banjara Hills, Hyderabad",Dream Valencia,Semi-Furnished,36.7408945686901,class1
"Individual Agent
AGENT
0",25000,1350,2,No Deposit,2 bathrooms,,"Nallagandla Gachibowli, Hyderabad",,Semi-Furnished,18.5185185185185,class2
"Ishaan
AGENT
0",50000,2050,3,No Deposit,3 bathrooms,East facing,"Shaikpet, Hyderabad",,Semi-Furnished,24.390243902439,class2
"Datrika Enterprises
AGENT
0",56000,1885,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Pacifica Hillcrest,Semi-Furnished,29.7082228116711,class1
"Investors Hub
AGENT
0",95000,3070,4,No Deposit,4 bathrooms,East facing,"Kondapur, Hyderabad",Aparna Luxor Park,Semi-Furnished,30.9446254071661,class1
"SYNERGY CONSULTANTS
AGENT
0",42000,1886,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Pacifica Hillcrest,Unfurnished,22.2693531283139,class2
"SHIVA
AGENT
0",21000,1000,2,No Deposit,1 bathrooms,East facing,"Kondapur, Hyderabad",,Semi-Furnished,21,class2
"Thirupathi Rentals
AGENT
0",17000,650,1,No Deposit,1 bathrooms,East facing,"Kondapur, Hyderabad",,Semi-Furnished,26.1538461538462,class1
"Priya Rentals
AGENT
0",26000,1300,2,No Deposit,2 bathrooms,West facing,"Kondapur, Hyderabad",,Semi-Furnished,20,class2
"Ravi
AGENT
0",24500,550,1,No Deposit,1 bathrooms,,"Kondapur, Hyderabad",,Furnished,44.5454545454546,class1
"SG RENTALS
AGENT
0",30000,1200,2,No Deposit,2 bathrooms,,"Kondapur, Hyderabad",,Semi-Furnished,25,class2
"VENKY
AGENT
0",15000,1000,1,No Deposit,1 bathrooms,,"Kondapur, Hyderabad",,Semi-Furnished,15,class3
"ANU RENTALS
AGENT
-",30000,1230,2,No Deposit,2 bathrooms,,"Madhapur, Hyderabad",,Semi-Furnished,24.390243902439,class2
"Seller
VERIFIED OWNER",9000,600,3,No Deposit,1 bathrooms,,"Attapur, Hyderabad",The Premia,Furnished,15,class3
"Seller
VERIFIED OWNER",16000,1100,2,No Deposit,2 bathrooms,,"Toli Chowki, Hyderabad",GM Residency,Semi-Furnished,14.5454545454545,class3
"Seller
VERIFIED OWNER",45000,3000,4,No Deposit,4 bathrooms,West facing,"Shamshabad, Hyderabad",,Furnished,15,class3
"Seller
VERIFIED OWNER",80000,3105,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Trend Set Trendset Winz,Furnished,25.7648953301127,class1
"Seller
VERIFIED OWNER",18000,1200,2,No Deposit,2 bathrooms,,"Malakpet, Hyderabad",,Unfurnished,15,class3
"Seller
VERIFIED OWNER",30000,2400,4,No Deposit,4 bathrooms,,"Nizampet, Hyderabad",,Unfurnished,12.5,class3
"Seller
VERIFIED OWNER",20000,1800,3,No Deposit,3 bathrooms,,"Uppal, Hyderabad",,Furnished,11.1111111111111,class3
"Asif
AGENT
0",114999,3130,3,No Deposit,3 bathrooms,,"Banjara Hills, Hyderabad",Dream Valencia,Semi-Furnished,36.7408945686901,class1
"Individual Agent
AGENT
0",25000,1350,2,No Deposit,2 bathrooms,,"Nallagandla Gachibowli, Hyderabad",,Semi-Furnished,18.5185185185185,class2
"Ishaan
AGENT
-",50000,2050,3,No Deposit,3 bathrooms,East facing,"Shaikpet, Hyderabad",,Semi-Furnished,24.390243902439,class2
"Datrika Enterprises
AGENT
-",56000,1885,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Pacifica Hillcrest,Semi-Furnished,29.7082228116711,class1
"Investors Hub
AGENT
-",95000,3070,4,No Deposit,4 bathrooms,East facing,"Kondapur, Hyderabad",Aparna Luxor Park,Semi-Furnished,30.9446254071661,class1
"SYNERGY CONSULTANTS
AGENT
-",42000,1886,3,No Deposit,3 bathrooms,,"Nanakramguda, Hyderabad",Pacifica Hillcrest,Unfurnished,22.2693531283139,class2
"SHIVA
AGENT
-",21000,1000,2,No Deposit,1 bathrooms,East facing,"Kondapur, Hyderabad",,Semi-Furnished,21,class2
"Thirupathi Rentals
AGENT
-",17000,650,1,No Deposit,1 bathrooms,East facing,"Kondapur, Hyderabad",,Semi-Furnished,26.1538461538462,class1
"Priya Rentals
AGENT
-",26000,1300,2,No Deposit,2 bathrooms,West facing,"Kondapur, Hyderabad",,Semi-Furnished,20,class2
"Ravi
AGENT
-",24500,550,1,No Deposit,1 bathrooms,,"Kondapur, Hyderabad",,Furnished,44.5454545454546,class1
"SG RENTALS
AGENT
-",30000,1200,2,No Deposit,2 bathrooms,,"Kondapur, Hyderabad",,Semi-Furnished,25,class2
"VENKY
AGENT
-",15000,1000,1,No Deposit,1 bathrooms,,"Kondapur, Hyderabad",,Semi-Furnished,15,class3
"ANU RENTALS
AGENT
-",30000,1230,2,No Deposit,2 bathrooms,,"Madhapur, Hyderabad",,Semi-Furnished,24.390243902439,class2
"Seller
VERIFIED OWNER",9000,600,3,No Deposit,1 bathrooms,,"Attapur, Hyderabad",The Premia,Furnished,15,class3
"Seller
VERIFIED OWNER",16000,1100,2,No Deposit,2 bathrooms,,"Toli Chowki, Hyderabad",GM Residency,Semi-Furnished,14.5454545454545,class3
"Seller
VERIFIED OWNER",45000,3000,4,No Deposit,4 bathrooms,West facing,"Shamshabad, Hyderabad",,Furnished,15,class3
